DateTime,Temperature,Feels Like_temp,Pressure(hPa),Humidity_percent,Weather,Weather Description,Wind Speed,Wind Direction,Cloudiness,Rain Volume(mm),Snow Volume(mm),Day,Hour
2024-03-27 03:00:00,10.03000000000003,8.580000000000041,1015,57,Clear,clear sky,4.41,86,0,0,0,2024-03-27,3
2024-03-27 06:00:00,9.210000000000036,6.5,1015,55,Clear,clear sky,5.26,108,7,0,0,2024-03-27,6
2024-03-27 09:00:00,7.32000000000005,5.080000000000041,1016,60,Clouds,broken clouds,3.34,123,59,0,0,2024-03-27,9
2024-03-27 12:00:00,6.020000000000039,2.57000000000005,1017,64,Clouds,broken clouds,5.09,121,81,0,0,2024-03-27,12
2024-03-27 15:00:00,10.900000000000034,9.480000000000018,1018,55,Clouds,broken clouds,7.5,140,65,0,0,2024-03-27,15
2024-03-27 18:00:00,18.510000000000048,17.410000000000025,1016,38,Clouds,broken clouds,6.15,169,51,0,0,2024-03-27,18
2024-03-27 21:00:00,20.980000000000018,19.840000000000032,1013,27,Clouds,broken clouds,3.25,265,83,0,0,2024-03-27,21
2024-03-28 00:00:00,16.57000000000005,15.610000000000014,1015,51,Clouds,broken clouds,5.24,76,60,0,0,2024-03-28,0
2024-03-28 03:00:00,9.800000000000011,7.420000000000016,1020,91,Clouds,scattered clouds,4.78,75,26,0,0,2024-03-28,3
2024-03-28 06:00:00,8.420000000000016,6.78000000000003,1022,95,Clouds,few clouds,2.75,64,14,0,0,2024-03-28,6
2024-03-28 09:00:00,7.760000000000048,6.660000000000025,1023,94,Clear,clear sky,1.92,76,0,0,0,2024-03-28,9
2024-03-28 12:00:00,7.170000000000016,5.610000000000014,1023,94,Clear,clear sky,2.33,102,1,0,0,2024-03-28,12
2024-03-28 15:00:00,12.240000000000009,11.450000000000045,1024,74,Clear,clear sky,2.85,137,6,0,0,2024-03-28,15
2024-03-28 18:00:00,18.620000000000005,17.74000000000001,1022,46,Clear,clear sky,3.47,154,9,0,0,2024-03-28,18
2024-03-28 21:00:00,22.090000000000032,21.160000000000025,1018,31,Clear,clear sky,4.86,171,8,0,0,2024-03-28,21
2024-03-29 00:00:00,20.410000000000025,19.52000000000004,1016,39,Clouds,scattered clouds,4.6,162,41,0,0,2024-03-29,0
2024-03-29 03:00:00,15.510000000000048,14.400000000000034,1016,49,Clouds,overcast clouds,5.94,143,87,0,0,2024-03-29,3
2024-03-29 06:00:00,15.54000000000002,14.480000000000018,1015,51,Clouds,broken clouds,7.51,172,60,0,0,2024-03-29,6
2024-03-29 09:00:00,15.340000000000032,14.730000000000018,1013,69,Clouds,scattered clouds,9.81,180,34,0,0,2024-03-29,9
2024-03-29 12:00:00,14.510000000000048,13.82000000000005,1013,69,Clouds,broken clouds,8.5,184,65,0,0,2024-03-29,12
2024-03-29 15:00:00,17.100000000000023,16.410000000000025,1013,59,Clouds,overcast clouds,9.45,188,100,0,0,2024-03-29,15
2024-03-29 18:00:00,21.30000000000001,20.840000000000032,1012,52,Clouds,overcast clouds,10.51,196,99,0,0,2024-03-29,18
2024-03-29 21:00:00,25.210000000000036,24.960000000000036,1009,45,Clouds,overcast clouds,9.72,198,100,0,0,2024-03-29,21
2024-03-30 00:00:00,23.879999999999995,23.629999999999995,1008,50,Clouds,overcast clouds,7.55,195,100,0,0,2024-03-30,0
2024-03-30 03:00:00,20.78000000000003,20.430000000000007,1009,58,Clouds,overcast clouds,8.19,184,87,0,0,2024-03-30,3
2024-03-30 06:00:00,18.52000000000004,18.310000000000002,1010,72,Clouds,broken clouds,9.39,188,78,0,0,2024-03-30,6
2024-03-30 09:00:00,16.970000000000027,16.840000000000032,1009,81,Clouds,overcast clouds,8.69,201,90,0,0,2024-03-30,9
2024-03-30 12:00:00,15.82000000000005,15.730000000000018,1011,87,Clouds,overcast clouds,7.07,204,88,0,0,2024-03-30,12
2024-03-30 15:00:00,20.650000000000034,20.52000000000004,1011,67,Clouds,broken clouds,8.16,219,81,0,0,2024-03-30,15
2024-03-30 18:00:00,27.379999999999995,27.150000000000034,1010,40,Clouds,overcast clouds,6.6,223,90,0,0,2024-03-30,18
2024-03-30 21:00:00,29.53000000000003,28.390000000000043,1008,31,Clouds,overcast clouds,6.24,206,100,0,0,2024-03-30,21
2024-03-31 00:00:00,25.860000000000014,25.75,1008,48,Clouds,overcast clouds,5.61,172,100,0,0,2024-03-31,0
2024-03-31 03:00:00,23.54000000000002,23.49000000000001,1009,59,Clouds,overcast clouds,8.1,174,100,0,0,2024-03-31,3
2024-03-31 06:00:00,21.710000000000036,21.74000000000001,1010,69,Clouds,overcast clouds,8.8,189,88,0,0,2024-03-31,6
2024-03-31 09:00:00,19.480000000000018,19.600000000000023,1009,81,Clouds,overcast clouds,7.56,192,100,0,0,2024-03-31,9
2024-03-31 12:00:00,18.760000000000048,18.860000000000014,1010,83,Clouds,overcast clouds,6.31,194,100,0,0,2024-03-31,12
2024-03-31 15:00:00,20.230000000000018,20.370000000000005,1011,79,Clouds,overcast clouds,6.15,206,100,0,0,2024-03-31,15
2024-03-31 18:00:00,25.060000000000002,25.160000000000025,1010,59,Clouds,overcast clouds,6.53,206,100,0,0,2024-03-31,18
2024-03-31 21:00:00,30.260000000000048,29.650000000000034,1006,37,Clouds,overcast clouds,4.5,206,100,0,0,2024-03-31,21
2024-04-01 00:00:00,27.160000000000025,27.77000000000004,1005,53,Clouds,overcast clouds,8.46,156,100,0,0,2024-04-01,0
